5
140
33
33
1	1	-7.5983437	-72.7756167
1	2	-9.8656445	-67.8992174
3	3	-9.5148414	-35.794605
1	4	-7.1864733	-59.9016774
1	5	-4.8754955	-66.9013517
1	6	-4.0123009	-67.4891844
1	7	-3.035842	-60.0485136
1	8	-6.636847	-69.8853406
1	9	-7.2824454	-64.7740291
1	10	-5.9546521	-65.763313
1	11	-3.3743885	-57.7259214
1	12	-2.6695066	-56.771859
1	13	-0.1524153	-66.9955623
1	14	-4.2503747	-69.9415827
1	15	-3.3803966	-64.7272842
1	16	0.0500713	-51.070552
3	17	-14.8145292	-39.0344057
3	18	-12.078699	-45.0126909
3	19	-12.9110925	-38.3334298
3	20	-14.9104233	-40.9199353
3	21	-12.498517	-41.3338551
3	22	-12.2019579	-38.9109685
3	23	-9.4000482	-38.2499613
3	24	-16.440926	-39.0821227
3	25	-17.5229469	-39.6712751
3	26	-13.3032708	-38.9933617
3	27	-3.6976724	-40.3854809
3	28	-4.5697437	-37.8018618
3	29	-2.905496	-40.3500128
3	30	-5.212463	-40.7067627
3	31	-6.3487176	-39.2965293
3	32	-7.2150972	-39.2744178
3	33	-5.9299348	-40.2966037
3	34	-3.7771555	-38.5352853
2	35	-15.8697369	-47.9194235
4	36	-20.2576489	-40.2857233
2	37	-17.836782	-50.9608344
2	38	-17.7253215	-48.6168773
2	39	-16.6323026	-49.2185338
3	40	-2.5836385	-44.2384029
3	41	-5.5316945	-47.4582583
4	42	-20.1741332	-44.874624
4	43	-18.897291	-41.9891626
4	44	-21.5887282	-45.4785829
4	45	-19.7443245	-47.9749737
4	46	-16.7049531	-43.8221749
4	47	-21.510278	-43.1641582
4	48	-19.5600833	-46.9687085
4	49	-19.634099	-43.9675847
4	50	-18.8896085	-48.2329403
4	51	-19.4744301	-42.4898733
2	52	-21.243192	-56.4520164
2	53	-20.4686937	-54.676312
2	54	-19.0191996	-57.6848311
2	55	-22.1971221	-54.9270712
2	56	-20.7527863	-51.6990729
2	57	-15.1957617	-59.3854215
2	58	-15.8585433	-52.3927357
2	59	-13.8142858	-56.0568578
2	60	-13.5699385	-52.2731219
2	61	-11.2986829	-57.5473926
2	62	-11.4179052	-58.7104068
2	63	-15.6530786	-56.1194574
2	64	-9.8723571	-56.1073883
2	65	-11.8786454	-55.583674
2	66	-15.5627446	-54.3302858
2	67	-12.4798557	-55.6775804
2	68	-16.5884517	-54.724156
